time,gsm
-1.64999999999998,-3.10115912373291
0.01400000000001,-3.09783322461429
0.0230000000000246,-3.11312555508943
1.66399999999999,-3.10979654099002
1.673,-3.1249477468643
4.92200000000003,-3.11827424852368
4.93100000000004,-3.1336265590412
6.60199999999998,-3.13015134818275
6.61099999999999,-3.1454943535901
11.638,-3.13493509459225
11.648,-3.15016935115231
14.991,-3.14309366984366
15,-3.12780863478347
16.7,-3.12429791383205
16.706,-3.13374975208589
18.314,-3.13040480609802
18.323,-3.14576176669351
19.9350000000001,-3.14236020568536
19.9450000000001,-3.15764594784664
23.1420000000001,-3.15082216751145
